Modulus,pressure,bias,flow,Cu,Al,Fe,Zr,V,Co,Ni,Nb,Ti,Cr,Mo,Mn,W,Ta,Hf
150.147,0.88,-100,100,0,0,0,20.0172,0,0,0,21.3315,17.0992,19.5951,22.0549,0,0,0,0
147.471,0.88,-150,100,0,0,0,20.0347,0,0,0,21.3611,16.3329,17.7679,24.8217,0,0,0,0
136.649,0.88,-200,100,0,0,0,16.9413,0,0,0,23.5611,13.8063,20.9204,24.8513,0,0,0,0
193,0.8,0,60,0,15.9,0,18.8,0,0,0,0,15.9,16,16.8,0,0,16.6,0
161,0.8,-50,100,0,0,0,23.9719,0,0,0,23.5484,22.6227,0,29.7843,0,0,0,0
148.9,0.8,-50,100,0,0,0,21.5281,0,0,0,18.2807,19.975,0,40.1812,0,0,0,0
148.7,0.8,-50,100,0,0,0,20.4099,0,0,0,17.8449,21.3276,0,40.4827,0,0,0,0
140.1,0.8,-50,100,0,0,0,24.9864,0,0,0,22.8685,21.7625,0,30.5008,0,0,0,0
138.1,0.8,-50,100,0,0,0,25.2095,0,0,0,22.4563,21.4993,0,30.9278,0,0,0,0
140,0.8,0,30,0,15.4384,0,23.5278,0,0,0,0,20.9473,22.4608,0,0,0,17.2994,0
104.7,0.67,0,100,0,0,0,19.8026,20.8991,0,0,0,19.5614,22.1491,0,0,0,0,17.8289
157.6,0.53,-100,52,0,21.7,17,0,0,0,0,0,21.1,20.8,19.4,0,0,0,0
177.64,0.53,-100,52,0,21.1,16.4,0,0,0,0,0,20.4,20.1,18.8,0,0,0,0
228.091,2,0,30,0,0,0,0,0,0,0,23.66,0,0,22.95,0,28.24,25.15,0
260.9,0.08,-50,20,0,0,0,0,10.63,0,0,0,7.92,8.08,0,0,36.3,37.07,0
256.016,0.08,-50,20,0,0,0,0,13.54,0,0,0,10.88,11.67,0,0,32.55,31.37,0
254.794,0.08,-50,20,0,0,0,0,14.73,0,0,0,12.15,12.94,0,0,30.63,29.56,0
261.203,0.08,-50,20,0,0,0,0,16.97,0,0,0,14.69,15.49,0,0,26.93,25.92,0
273.984,0.08,-50,20,0,0,0,0,18.49,0,0,0,15.83,16.98,0,0,24.52,24.17,0
259.981,0.08,-50,20,0,0,0,0,20.08,0,0,0,16.89,19.05,0,0,22.01,21.98,0
246.016,0.08,-50,20,0,0,0,0,21.83,0,0,0,18.9,21.57,0,0,18.78,18.92,0
246.97,0.08,-50,20,0,0,0,0,22.92,0,0,0,20.14,22.96,0,0,16.95,17.03,0
241.17,0.08,-50,20,0,0,0,0,23.56,0,0,0,21.61,24.47,0,0,15.27,15.09,0
239.49,0.08,-50,20,0,0,0,0,25.02,0,0,0,22.26,26.59,0,0,13.05,13.08,0
226.976,0.08,-50,20,0,0,0,0,26.27,0,0,0,23.92,29.35,0,0,10.16,10.29,0
231.553,0.08,-50,20,0,0,0,0,26.52,0,0,0,24.88,30.14,0,0,9.2,9.2,0
225.372,0.08,-50,20,0,0,0,0,26.67,0,0,0,26.7,32.44,0,0,6.47,6.72,0
219.021,0.33,-126,18,0,14.5,0,0,16.7,0,0,22.1,15.5,31.2,0,0,0,0,0
120.8,0.67,-100,100,0,0,0,19.2955,15.7045,0,0,0,15.7045,22.1649,0,0,0,20.4811,0
126.002,0.9,0,6,0,0,0,19.0391,16.0142,0,0,20,21.9929,0,0,0,0,25.9786,0
137.053,0.9,-25,6,0,0,0,19.0391,16.0142,0,0,20,21.9929,0,0,0,0,25.9786,0
131.955,0.9,-45,6,0,0,0,19.0391,16.0142,0,0,20,21.9929,0,0,0,0,25.9786,0
129.89,0.9,-55,6,0,0,0,19.0391,16.0142,0,0,20,21.9929,0,0,0,0,25.9786,0
128.979,0.9,-60,6,0,0,0,19.0391,16.0142,0,0,20,21.9929,0,0,0,0,25.9786,0
134.943,0.9,-75,6,0,0,0,19.0391,16.0142,0,0,20,21.9929,0,0,0,0,25.9786,0
106,0.9,0,6,0,0,0,19.0391,16.0142,0,0,20,21.9929,0,0,0,0,25.9786,0
136,0.33,-100,30,0,0,0,20,19,0,0,22,20,0,0,0,0,0,18
159.6,0.5,0,51,0,0,0,19.7,16.8,0,0,18.7,19.3,0,15.8,0,0,0,0
190.264,0.5,-90,53,0,0,0,26.32,0,0,0,24.32,0,23.46,25.9,0,0,0,0
190.767,0.5,-90,53,0,5.29,0,22.41,0,0,0,22.7,0,25.63,23.97,0,0,0,0
192.067,0.5,-90,53,0,10.53,0,24.17,0,0,0,20.97,0,21.63,22.7,0,0,0,0
196.219,0.5,-90,53,0,19.21,0,22.4,0,0,0,20.11,0,18.06,20.22,0,0,0,0
205.656,0.5,-90,53,0,40.4,0,14.97,0,0,0,14.48,0,14.3,15.85,0,0,0,0
219.758,0.13,-20,50,0,1.35299,0,0,0,32.2639,31.7093,0,2.25032,32.4768,0,0,0,0,0
229.526,0.13,-40,50,0,0.584528,0,0,0,33.1614,31.9233,0,1.97042,32.3434,0,0,0,0,0
233.88,0.13,-60,50,0,0.454504,0,0,0,34.5854,32.0252,0,1.96886,30.9776,0,0,0,0,0
252.9,0.13,-80,50,0,0.303068,0,0,0,35.3821,32.0992,0,1.68312,30.5866,0,0,0,0,0
238.259,0.13,-100,50,0,0.470855,0,0,0,35.3832,32.1787,0,1.89567,30.1003,0,0,0,0,0
234.794,0.13,-120,50,0,0.461514,0,0,0,35.4235,32.3535,0,1.80847,30.0118,0,0,0,0,0
135,0.67,-50,30,0,0,19.8,16.6,0,0,0,18.7,20.3,0,0,0,0,19,0
241,0.67,-100,30,0,2.37,0,0,16.54,0,0,18.53,0,0,18.62,0,19.56,18.17,0
230,0.67,-100,30,0,5.17,0,0,16.09,0,0,17.97,0,0,18.29,0,19.46,17.34,0
231,0.67,-100,30,0,8.54,0,0,15.15,0,0,17.97,0,0,17.88,0,19.42,17.47,0
277.861,0.8,0,40,0,0,0,0,0,0,0,0,0,0,32,0,47,21,0
275.96,0.8,0,40,0,0,0,0,0,0,0,0,0,0,36,0,40,24,0
281.531,0.8,0,40,0,0,0,0,0,0,0,0,0,0,40,0,29,31,0
279.975,0.8,0,40,0,0,0,0,0,0,0,0,0,0,32,0,33,35,0
275.663,0.8,0,40,0,0,0,0,0,0,0,0,0,0,31,0,36,34,0
272.179,0.8,0,40,0,0,0,0,0,0,0,0,0,0,34,0,32,34,0
181.9,0.67,-50,40,0,0,0,0,0,0,0,25.8,7.5,0,0,0,37.9,28.8,0
131.304,0.4,0,15,0,0,0,24.45,24.77,0,0,22.89,27.84,0,0,0,0,0,0
139.678,0.4,0,15,0,3.48,0,23.44,23.87,0,0,22.29,26.91,0,0,0,0,0,0
140.917,0.4,0,15,0,7.35,0,22.62,22.67,0,0,21.36,25.98,0,0,0,0,0,0
142.739,0.4,0,15,0,12.24,0,21.49,21.82,0,0,19.78,24.66,0,0,0,0,0,0
141.492,0.4,0,15,0,12.91,0,23.51,20.19,0,0,20.04,23.34,0,0,0,0,0,0
318.134,0.8,0,40,0,0,0,0,0,0,0,25.1,0,0,0,0,37.8,37.1,0
316.496,0.8,0,40,0,0,0,0,0,0,0,33.9,0,0,0,0,33.8,32.3,0
298.407,0.8,0,40,0,0,0,0,0,0,0,37.8,0,0,0,0,32,30.2,0
324.32,0.8,0,40,0,0,0,0,0,0,0,21.2,0,0,0,0,44.8,34,0
306.77,0.8,0,40,0,0,0,0,0,0,0,29.1,0,0,0,0,39.9,31,0
293.996,0.8,0,40,0,0,0,0,0,0,0,26.2,0,0,0,0,37.9,35.9,0
239.012,0.8,0,40,0,0,0,0,0,0,0,27.0895,0,0,0,0,29.0959,28.072,16.0886
238.82,0.8,0,40,0,0,0,0,0,0,0,25.0415,0,0,0,0,24.0867,25.0969,26.9788
222.328,0.8,0,40,0,0,0,0,0,0,0,19.9631,0,0,0,0,22.1356,21.0978,37.0387
213.663,0.8,0,40,0,0,0,0,0,0,0,18.0535,0,0,0,0,19.0498,19.1605,44.0129
181.014,0.67,0,20,0,28.2292,0,0,0,0,0,18.3929,12.1429,12.6637,0,0,10.9077,17.4702,0
180.032,0.67,-50,20,0,29.0327,0,0,0,0,0,17.4256,9.10714,16.5774,0,0,10.3125,17.4256,0
178.962,0.67,-100,20,0,29.0923,0,0,0,0,0,17.7083,9.19643,16.5923,0,0,10.4464,16.8452,0
181.233,0.67,-150,20,0,26.5179,0,0,0,0,0,15.997,10.2381,17.9167,0,0,14.375,14.9256,0
180.721,0.67,-200,20,0,26.1012,0,0,0,0,0,14.1369,10.0744,19.2857,0,0,15.7143,14.375,0
321,0.6,-100,42,0,0,0,0,0,0,0,12,3,3,0,0,41,41,0
185,0.6,-100,42,0,0,0,0,0,0,0,19,21,26,0,0,18,16,0
159.882,0.45,-70,30,0,0,0,0,0,29.59,33.98,0,0,36.42,0,0,0,0,0
