Hardness,pressure,bias,flow,Cu,Al,Fe,Zr,V,Co,Ni,Nb,Ti,Cr,Mo,Mn,W,Ta,Hf,ave:num_f_valence,var:evaporation_heat,var:num_unfilled,var:vdw_radius_alvarez
12.2217,0.30729166666666674,0.5,0.14893617021276595,0.0,0.2912698149686832,0.0,0.0,0.0,0.0,0.0,0.17729410408973967,0.092073932431346,0.1661208000366036,0.0,0.0,0.10458853356691813,0.1686528149067094,0.0,0.3332211566751555,0.958640765054602,0.14237439470308708,1.0000002542826014
28.2961,0.37500000000000006,1.0,0.3617021276595745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.251,0.0,0.0,0.0,0.0,0.37799999999999995,0.371,0.0,0.9134146341463414,0.057318414972273565,0.012592511734526798,0.003016933117844813
8.30815,0.42708333333333337,0.625,0.0,0.0,0.0,0.0,0.1848011352606363,0.15544024351418298,0.0,0.0,0.19412801577872513,0.2134719019109962,0.0,0.0,0.0,0.0,0.25215870353545944,0.0,0.30751061406763347,0.3566628995500482,0.013417680936163435,0.1290738036560711
8.2,0.13020833333333334,0.5,0.2553191489361702,0.0,0.0,0.0,0.20202020202020202,0.1919191919191919,0.0,0.0,0.2222222222222222,0.20202020202020202,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.22172949002217293,0.17449474161078524,0.013959229930204828,0.30825890724600197
20.1602,0.37500000000000006,1.0,0.3617021276595745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.47,0.21,0.0,0.8292682926829268,0.21311318265837673,0.0,0.15544080353941767
8.6,0.42708333333333337,0.5,0.2553191489361702,0.1382861713828617,0.15308469153084692,0.13958604139586042,0.1518848115188481,0.1456854314568543,0.1394860513948605,0.131986801319868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1711402422524097,1.0000006881742236,0.356521082126531
8.985,0.4166666666666667,0.0,1.0,0.0,0.0,0.0,0.1692769013712975,0.0,0.0,0.0,0.2354217209363672,0.13795208652243598,0.20903593510817306,0.2483133560617264,0.0,0.0,0.0,0.0,0.0,0.31466340204168874,0.1048179190059136,0.11835639796867478
10.7715,0.21875,0.55,0.5,0.0,0.10529999999999999,0.0,0.24170000000000003,0.0,0.0,0.0,0.2097,0.0,0.2163,0.22699999999999998,0.0,0.0,0.0,0.0,0.0,0.4055023055231705,0.14015776298075178,0.45713389783316416
12.6091,1.0,1.0,0.2553191489361702,0.0,0.0,0.0,0.0,0.0401,0.0,0.0,0.2284,0.0,0.0,0.2278,0.0,0.2631,0.24059999999999998,0.0,0.6142682926829268,0.20044082564610988,0.015285301822945092,0.14219069476276552
14.7,0.27083333333333337,0.5,0.3829787234042553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.03,0.03,0.0,0.0,0.41,0.41,0.0,0.9999999999999999,0.22355633162493696,0.024742568133027693,0.03712171409729144
