Hardness,Modulus,Cu,Al,Fe,Zr,V,Co,Ni,Nb,Ti,Cr,Mo,Mn,W,Ta,Hf
7.24,148.7,0,0,0,20.4099,0,0,0,17.8449,21.3276,0,40.4827,0,0,0,0
6.547,140.1,0,0,0,24.9864,0,0,0,22.8685,21.7625,0,30.5008,0,0,0,0
7.219,138.1,0,0,0,25.2095,0,0,0,22.4563,21.4993,0,30.9278,0,0,0,0
9.3,140,0,15.4384,0,23.5278,0,0,0,0,20.9473,22.4608,0,0,0,17.2994,0
8.3,104.7,0,0,0,19.8026,20.8991,0,0,0,19.5614,22.1491,0,0,0,0,17.8289
8.34012,157.6,0,21.7,17,0,0,0,0,0,21.1,20.8,19.4,0,0,0,0
8.32,177.64,0,21.1,16.4,0,0,0,0,0,20.4,20.1,18.8,0,0,0,0
12.1875,228.091,0,0,0,0,0,0,0,23.66,0,0,22.95,0,28.24,25.15,0
25.3486,260.9,0,0,0,0,10.63,0,0,0,7.92,8.08,0,0,36.3,37.07,0
23.8028,256.016,0,0,0,0,13.54,0,0,0,10.88,11.67,0,0,32.55,31.37,0
23.7201,254.794,0,0,0,0,14.73,0,0,0,12.15,12.94,0,0,30.63,29.56,0
25.3896,261.203,0,0,0,0,16.97,0,0,0,14.69,15.49,0,0,26.93,25.92,0
27.5468,273.984,0,0,0,0,18.49,0,0,0,15.83,16.98,0,0,24.52,24.17,0
24.8398,259.981,0,0,0,0,20.08,0,0,0,16.89,19.05,0,0,22.01,21.98,0
22.4831,246.016,0,0,0,0,21.83,0,0,0,18.9,21.57,0,0,18.78,18.92,0
22.9089,246.97,0,0,0,0,22.92,0,0,0,20.14,22.96,0,0,16.95,17.03,0
21.1844,241.17,0,0,0,0,23.56,0,0,0,21.61,24.47,0,0,15.27,15.09,0
21.1568,239.49,0,0,0,0,25.02,0,0,0,22.26,26.59,0,0,13.05,13.08,0
19.7689,226.976,0,0,0,0,26.27,0,0,0,23.92,29.35,0,0,10.16,10.29,0
19.9063,231.553,0,0,0,0,26.52,0,0,0,24.88,30.14,0,0,9.2,9.2,0
19.81,225.372,0,0,0,0,26.67,0,0,0,26.7,32.44,0,0,6.47,6.72,0
17.46,219.021,0,14.5,0,0,16.7,0,0,22.1,15.5,31.2,0,0,0,0,0
10.8,120.8,0,0,0,19.2955,15.7045,0,0,0,15.7045,22.1649,0,0,0,20.4811,0
6.49945,126.002,0,0,0,19.0391,16.0142,0,0,20,21.9929,0,0,0,0,25.9786,0
7.10484,137.053,0,0,0,19.0391,16.0142,0,0,20,21.9929,0,0,0,0,25.9786,0
7.20133,131.955,0,0,0,19.0391,16.0142,0,0,20,21.9929,0,0,0,0,25.9786,0
7.49568,129.89,0,0,0,19.0391,16.0142,0,0,20,21.9929,0,0,0,0,25.9786,0
7.29793,128.979,0,0,0,19.0391,16.0142,0,0,20,21.9929,0,0,0,0,25.9786,0
8.30815,134.943,0,0,0,19.0391,16.0142,0,0,20,21.9929,0,0,0,0,25.9786,0
5.9,106,0,0,0,19.0391,16.0142,0,0,20,21.9929,0,0,0,0,25.9786,0
8.2,136,0,0,0,20,19,0,0,22,20,0,0,0,0,0,18
14.4,159.6,0,0,0,19.7,16.8,0,0,18.7,19.3,0,15.8,0,0,0,0
10.1125,190.264,0,0,0,26.32,0,0,0,24.32,0,23.46,25.9,0,0,0,0
10.5702,190.767,0,5.29,0,22.41,0,0,0,22.7,0,25.63,23.97,0,0,0,0
10.7715,192.067,0,10.53,0,24.17,0,0,0,20.97,0,21.63,22.7,0,0,0,0
12.8629,196.219,0,19.21,0,22.4,0,0,0,20.11,0,18.06,20.22,0,0,0,0
14.6741,205.656,0,40.4,0,14.97,0,0,0,14.48,0,14.3,15.85,0,0,0,0
8.08781,219.758,0,1.35299,0,0,0,32.2639,31.7093,0,2.25032,32.4768,0,0,0,0,0
8.38671,229.526,0,0.584528,0,0,0,33.1614,31.9233,0,1.97042,32.3434,0,0,0,0,0
8.59911,233.88,0,0.454504,0,0,0,34.5854,32.0252,0,1.96886,30.9776,0,0,0,0,0
