Discriminator Loss,Generator Loss
0.7378836870193481,1.2176432609558105
0.8508563339710236,1.2055025100708008
0.8481346964836121,1.4927785396575928
0.8277350962162018,1.3249305486679077
0.7627841234207153,1.3989346027374268
0.7981318533420563,1.2710168361663818
0.7515205442905426,1.356074571609497
0.7377627193927765,1.3514759540557861
0.8074584603309631,1.3913633823394775
0.8665208220481873,1.218485951423645
0.8792842328548431,1.3401623964309692
0.7930654883384705,1.209158182144165
0.7761000692844391,1.2386127710342407
0.8162590563297272,1.2316699028015137
0.9138891398906708,1.3671315908432007
0.908891886472702,1.1776922941207886
0.8358240723609924,1.2275633811950684
0.791885495185852,1.1820415258407593
0.7674286961555481,1.2009245157241821
0.7623153924942017,1.0450959205627441
0.8161165416240692,1.0434386730194092
0.8103954493999481,1.1263227462768555
0.8448814451694489,1.0499454736709595
0.7631399631500244,1.1419868469238281
0.7669474482536316,1.0639925003051758
0.7669053375720978,1.1708338260650635
0.8027928173542023,0.984467089176178
0.794313907623291,1.1493759155273438
0.8012616634368896,1.297653317451477
0.8368182480335236,1.3071298599243164
0.7466316223144531,0.9282457828521729
0.7770257890224457,0.898662805557251
0.8338839113712311,1.0355032682418823
0.8069403767585754,0.9273157119750977
0.8450841009616852,1.1242345571517944
0.8305429220199585,1.0179989337921143
0.7553180456161499,1.051398754119873
0.817532867193222,0.9460326433181763
0.8503633439540863,0.9526411890983582
0.8030336201190948,0.9709298610687256
0.7936829924583435,0.9516602754592896
0.8124480545520782,0.8419889807701111
0.7469694018363953,0.8995797634124756
0.879908561706543,0.9305837154388428
0.7970098257064819,0.9151599407196045
