hardness,modulus,pressure,bias,flow,Cu,Al,Fe,Zr,V,Co,Ni,Nb,Ti,Cr,Mo,Mn,W,Ta,Hf,ave:num_f_valence,var:evaporation_heat,var:num_unfilled,var:vdw_radius_alvarez,ave:thermal_conductivity,var:Polarizability,var:gs_energy
8.6,179.47346246525206,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2316857334901697,1.0614015937124768,0.47468416603628144,0.9857682720913403,1.0638307790921273,0.48673077635190004
8.6,179.47346246525206,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2075599563098639,0.9449659789688172,0.469678625528632,1.0967275066334325,1.0524095332439831,0.37848775168676263
8.4353,160.4321921933314,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20685948580070573,1.0614015937124768,0.46967862552863204,1.0822545629975078,1.087325913408309,0.36705544416292335
16.574725673536495,179.47346246525206,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.521630280625105,1.0614015937124768,0.7339711643325206,1.0227546836053711,1.3238156284598794,0.6059702170337875
8.6,140.44271246525204,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21474858007057634,1.2360550158279664,0.5087218414882974,0.9712953284554153,1.2145912242876284,0.40684390902651274
8.46,179.47346246525206,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.210211359435389,0.9449659789688172,0.4972090983207038,1.087078877542816,1.0313851174173996,0.540276494546934
9.892295,198.8615,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.3636954797513023,0.9449659789688172,0.49720909832070376,1.1594435957224414,1.0845288736087637,0.7052320304082417
9.685749999999999,179.47346246525206,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2853814148882541,0.8867481715969875,0.49720909832070376,0.9484602396076225,1.0036944234018994,0.49382597367039227
18.70847315420884,179.47346246525206,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.24390243902439027,0.8875707948243993,0.9449659789688172,0.7675082857337717,1.209294846023961,1.0171668317697102,1.0744115543579686
21.82079748067234,179.47346246525206,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.24390243902439027,0.702546765249538,1.0614015937124768,0.6453730973471261,1.0275789981506795,1.102010372355923,0.8642394087293028
13.805691429768824,179.47346246525206,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.24390243902439027,0.34266624096790455,1.2360550158279664,1.0107775544055326,0.9729034333038513,1.3809218577005997,0.5894943422243978
6.176125,209.49401040078976,0.5,0.5,0.5,0.2,0.2,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07518993446479583,0.6975402976385402,0.2644514647150064,1.1095923454209216,0.23963638482605912,0.4143296744694272
6.011425,209.49401040078976,0.5,0.5,0.5,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0726015459586624,0.7994214605392426,0.2644514647150064,1.0951194017849963,0.2566050929433017,0.4074121990292122
13.7685,212.86135105715636,0.5,0.5,0.5,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44156457738195265,0.8721937197540299,0.6088326516412854,1.0356195223928601,0.7212866383077907,0.6329449226084742
6.176125,209.49401040078976,0.5,0.5,0.5,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08840191564442948,1.0614015937124768,0.33352792372056816,0.9841601672429044,0.583858749490123,0.440640887395771
6.176125,212.86135105715636,0.5,0.5,0.5,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.06937267686103174,0.7412036531674127,0.31700964004532517,1.099943716330305,0.3237340481323932,0.5689805522653204
9.441707583125467,212.86135105715636,0.5,0.5,0.5,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.26744762224836155,0.7412036531674127,0.31700964004532517,1.1723084345099302,0.4076452421187577,0.7299912468021922
8.6,261.5993221300108,0.5,0.5,0.5,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.12278672492018149,0.6684313939526254,0.31700964004532517,0.9613250783951114,0.23963638482605912,0.5239578569478842
