Hardness,pressure,bias,flow,Cu,Al,Fe,Zr,V,Co,Ni,Nb,Ti,Cr,Mo,Mn,W,Ta,Hf
25.3486,0.08,-50,20,0,0,0,0,10.63,0,0,0,7.92,8.08,0,0,36.3,37.07,0
23.8028,0.08,-50,20,0,0,0,0,13.54,0,0,0,10.88,11.67,0,0,32.55,31.37,0
23.7201,0.08,-50,20,0,0,0,0,14.73,0,0,0,12.15,12.94,0,0,30.63,29.56,0
25.3896,0.08,-50,20,0,0,0,0,16.97,0,0,0,14.69,15.49,0,0,26.93,25.92,0
27.5468,0.08,-50,20,0,0,0,0,18.49,0,0,0,15.83,16.98,0,0,24.52,24.17,0
24.8398,0.08,-50,20,0,0,0,0,20.08,0,0,0,16.89,19.05,0,0,22.01,21.98,0
22.4831,0.08,-50,20,0,0,0,0,21.83,0,0,0,18.9,21.57,0,0,18.78,18.92,0
22.9089,0.08,-50,20,0,0,0,0,22.92,0,0,0,20.14,22.96,0,0,16.95,17.03,0
21.1844,0.08,-50,20,0,0,0,0,23.56,0,0,0,21.61,24.47,0,0,15.27,15.09,0
21.1568,0.08,-50,20,0,0,0,0,25.02,0,0,0,22.26,26.59,0,0,13.05,13.08,0
19.7689,0.08,-50,20,0,0,0,0,26.27,0,0,0,23.92,29.35,0,0,10.16,10.29,0
19.9063,0.08,-50,20,0,0,0,0,26.52,0,0,0,24.88,30.14,0,0,9.2,9.2,0
19.81,0.08,-50,20,0,0,0,0,26.67,0,0,0,26.7,32.44,0,0,6.47,6.72,0
17.46,0.33,-126,18,0,14.5,0,0,16.7,0,0,22.1,15.5,31.2,0,0,0,0,0
10.8,0.67,-100,100,0,0,0,19.2955,15.7045,0,0,0,15.7045,22.1649,0,0,0,20.4811,0
6.49945,0.9,0,6,0,0,0,19.0391,16.0142,0,0,20,21.9929,0,0,0,0,25.9786,0
7.10484,0.9,-25,6,0,0,0,19.0391,16.0142,0,0,20,21.9929,0,0,0,0,25.9786,0
7.20133,0.9,-45,6,0,0,0,19.0391,16.0142,0,0,20,21.9929,0,0,0,0,25.9786,0
7.49568,0.9,-55,6,0,0,0,19.0391,16.0142,0,0,20,21.9929,0,0,0,0,25.9786,0
7.29793,0.9,-60,6,0,0,0,19.0391,16.0142,0,0,20,21.9929,0,0,0,0,25.9786,0
8.30815,0.9,-75,6,0,0,0,19.0391,16.0142,0,0,20,21.9929,0,0,0,0,25.9786,0
5.9,0.9,0,6,0,0,0,19.0391,16.0142,0,0,20,21.9929,0,0,0,0,25.9786,0
8.2,0.33,-100,30,0,0,0,20,19,0,0,22,20,0,0,0,0,0,18
14.4,0.5,0,51,0,0,0,19.7,16.8,0,0,18.7,19.3,0,15.8,0,0,0,0
10.1125,0.5,-90,53,0,0,0,26.32,0,0,0,24.32,0,23.46,25.9,0,0,0,0
10.5702,0.5,-90,53,0,5.29,0,22.41,0,0,0,22.7,0,25.63,23.97,0,0,0,0
10.7715,0.5,-90,53,0,10.53,0,24.17,0,0,0,20.97,0,21.63,22.7,0,0,0,0
12.8629,0.5,-90,53,0,19.21,0,22.4,0,0,0,20.11,0,18.06,20.22,0,0,0,0
14.6741,0.5,-90,53,0,40.4,0,14.97,0,0,0,14.48,0,14.3,15.85,0,0,0,0
8.08781,0.13,-20,50,0,1.35299,0,0,0,32.2639,31.7093,0,2.25032,32.4768,0,0,0,0,0
8.38671,0.13,-40,50,0,0.584528,0,0,0,33.1614,31.9233,0,1.97042,32.3434,0,0,0,0,0
8.59911,0.13,-60,50,0,0.454504,0,0,0,34.5854,32.0252,0,1.96886,30.9776,0,0,0,0,0
9.47945,0.13,-80,50,0,0.303068,0,0,0,35.3821,32.0992,0,1.68312,30.5866,0,0,0,0,0
8.90858,0.13,-100,50,0,0.470855,0,0,0,35.3832,32.1787,0,1.89567,30.1003,0,0,0,0,0
8.88071,0.13,-120,50,0,0.461514,0,0,0,35.4235,32.3535,0,1.80847,30.0118,0,0,0,0,0
9.9,0.67,-50,30,0,0,19.8,16.6,0,0,0,18.7,20.3,0,0,0,0,19,0
18.1,0.67,-100,30,0,2.37,0,0,16.54,0,0,18.53,0,0,18.62,0,19.56,18.17,0
16.6,0.67,-100,30,0,5.17,0,0,16.09,0,0,17.97,0,0,18.29,0,19.46,17.34,0
15.8,0.67,-100,30,0,8.54,0,0,15.15,0,0,17.97,0,0,17.88,0,19.42,17.47,0
20.1602,0.8,0,40,0,0,0,0,0,0,0,0,0,0,32,0,47,21,0
19.7813,0.8,0,40,0,0,0,0,0,0,0,0,0,0,36,0,40,24,0
20.1167,0.8,0,40,0,0,0,0,0,0,0,0,0,0,40,0,29,31,0
19.8621,0.8,0,40,0,0,0,0,0,0,0,0,0,0,32,0,33,35,0
19.7265,0.8,0,40,0,0,0,0,0,0,0,0,0,0,31,0,36,34,0
19.5909,0.8,0,40,0,0,0,0,0,0,0,0,0,0,34,0,32,34,0
8,0.67,-50,40,0,0,0,0,0,0,0,25.8,7.5,0,0,0,37.9,28.8,0
8.77429,0.4,0,15,0,0,0,24.45,24.77,0,0,22.89,27.84,0,0,0,0,0,0
8.90759,0.4,0,15,0,3.48,0,23.44,23.87,0,0,22.29,26.91,0,0,0,0,0,0
8.90831,0.4,0,15,0,7.35,0,22.62,22.67,0,0,21.36,25.98,0,0,0,0,0,0
9.01309,0.4,0,15,0,12.24,0,21.49,21.82,0,0,19.78,24.66,0,0,0,0,0,0
9.04985,0.4,0,15,0,12.91,0,23.51,20.19,0,0,20.04,23.34,0,0,0,0,0,0
28.2961,0.8,0,40,0,0,0,0,0,0,0,25.1,0,0,0,0,37.8,37.1,0
27.8614,0.8,0,40,0,0,0,0,0,0,0,33.9,0,0,0,0,33.8,32.3,0
25.5874,0.8,0,40,0,0,0,0,0,0,0,37.8,0,0,0,0,32,30.2,0
29.0847,0.8,0,40,0,0,0,0,0,0,0,21.2,0,0,0,0,44.8,34,0
26.7082,0.8,0,40,0,0,0,0,0,0,0,29.1,0,0,0,0,39.9,31,0
25.4051,0.8,0,40,0,0,0,0,0,0,0,26.2,0,0,0,0,37.9,35.9,0
20.6579,0.8,0,40,0,0,0,0,0,0,0,27.0895,0,0,0,0,29.0959,28.072,16.0886
22.0462,0.8,0,40,0,0,0,0,0,0,0,25.0415,0,0,0,0,24.0867,25.0969,26.9788
20.5365,0.8,0,40,0,0,0,0,0,0,0,19.9631,0,0,0,0,22.1356,21.0978,37.0387
19.2016,0.8,0,40,0,0,0,0,0,0,0,18.0535,0,0,0,0,19.0498,19.1605,44.0129
8.61296,0.4,0,20,0,0,19.99,0,0,19.42,18.76,0,3.57,16.86,0,21.4,0,0,0
8.78203,0.4,0,20,0,0,19.29,0,0,18.72,18.07,0,6.76,16.38,0,20.78,0,0,0
8.9187,0.4,0,20,0,0,18.71,0,0,17.2,17.52,0,10.13,16.48,0,19.96,0,0,0
8.99271,0.4,0,20,0,0,17.42,0,0,16.61,17.68,0,13.52,15.51,0,19.26,0,0,0
12.1015,0.67,0,20,0,28.2292,0,0,0,0,0,18.3929,12.1429,12.6637,0,0,10.9077,17.4702,0
12.1972,0.67,-50,20,0,29.0327,0,0,0,0,0,17.4256,9.10714,16.5774,0,0,10.3125,17.4256,0
12.2217,0.67,-100,20,0,29.0923,0,0,0,0,0,17.7083,9.19643,16.5923,0,0,10.4464,16.8452,0
12.455,0.67,-150,20,0,26.5179,0,0,0,0,0,15.997,10.2381,17.9167,0,0,14.375,14.9256,0
12.2423,0.67,-200,20,0,26.1012,0,0,0,0,0,14.1369,10.0744,19.2857,0,0,15.7143,14.375,0
14.7,0.6,-100,42,0,0,0,0,0,0,0,12,3,3,0,0,41,41,0
13.3,0.6,-100,42,0,0,0,0,0,0,0,19,21,26,0,0,18,16,0
24.7,0.267,-55,20,0,0,0,16.1253,0,0,0,17.2364,0,32.2249,0,0,0,13.0759,0
20.12,0.267,-55,20,0,0,0,16.1877,0,0,0,17.4631,0,23.3864,0,0,0,13.1026,0
8.72,0.45,-70,30,0,0,0,0,0,29.59,33.98,0,0,36.42,0,0,0,0,0
